trialType,cndTyp,lag,T1_loc,T2_loc,stimLen,isi,skipProb,phase,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,text_3.started,text_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,img0,img1,img2,img3,img4,img5,img6,img7,img8,img9,img10,img11,img12,img13,img14,img15,img16,option1.started,option1.stopped,text_2.started,text_2.stopped,skip1,skip2,lastPresent,displayPicture.started,displayPicture.stopped,polygon_2.started,polygon_2.stopped,opt1_t1,polygon_4.started,polygon_4.stopped,cor1,option1_t1.started,option1_t1.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,polygon_5.started,polygon_5.stopped,text_6.started,text_6.stopped,cor2,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,feedbackText.started,feedbackText.stopped,text.started,text.stopped,key_resp_3.keys,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,option1_3.started,option1_3.stopped,text_7.started,text_7.stopped,curStimTim,displayPicture_4.started,displayPicture_4.stopped,polygon_16.started,polygon_16.stopped,polygon_7.started,polygon_7.stopped,option1_t1_2.started,option1_t1_2.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,polygon_17.started,polygon_17.stopped,text_8.started,text_8.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,B0,B1,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,14.47726490002242,None,space,1.36956600000849,14.47726490002242,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag6,6,5,11,0.2,0.05,0.5,,0,0,0,0,,,,,,,,,,,humanskeleton.jpg,dandelion.jpg,basketball01.jpg,chainsaw.jpg,cobra.jpg,bow.jpg,fridge.jpg,motorcycle.jpg,electrictoothbrush01c.jpg,urinal.jpg,mattress.jpg,key07.jpg,windshieldwiper02.jpg,saxophone.jpg,redfox.jpg,chair.jpg,kite.jpg,15.909933100017952,18.670840000006137,18.4081118000031,None,1,1,13,18.96433360001538,None,18.96433360001538,None,.\resources\mattress.jpg,22.467525800020667,None,1,22.467525800020667,None,left,0.36334810001426376,22.467525800020667,None,22.870336400024826,None,22.870336400024826,None,1,left,0.16852059998200275,22.870336400024826,None,23.09437980002258,None,24.082438569999066,None,None,24.082438569999066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.086703500011936,None,space,0.7901801000116393,24.086703500011936,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag6,6,5,11,0.2,0.05,0.5,ramp,,,,,0,0,0,0,,,,,,,flag.jpg,candycane01a.jpg,hockeypuck.jpg,helicopter.jpg,cruiseship.jpg,wallclock.jpg,steeringwheel.jpg,christmastree.jpg,chimney.jpg,scooter.jpg,whiteout.jpg,microwave.jpg,hulahoop.jpg,motorcycle.jpg,chair.jpg,fingerprint.jpg,skateboard.jpg,,,,,0,1,13,,,,,.\resources\whiteout.jpg,,,1,,,,,,,,,,,1,,,,,,,32.62181066999911,None,None,32.62181066999911,None,,,,,,,24.942921600013506,27.692668900010176,27.42604879999999,None,0.2,27.926077100011753,None,27.926077100011753,None,31.510069900017697,None,31.510069900017697,None,right,0.6248143999837339,31.510069900017697,None,32.190252500004135,None,32.190252500004135,None,left,0.39267289999406785,32.190252500004135,None,,,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag4,4,4,8,0.19066666667,0.048,0.48,ramp,,,,,0,1,1,1,,,,,,,treadmill.jpg,bullet.jpg,saxophone.jpg,sheep.jpg,raccoon.jpg,cheetah.jpg,zebra.jpg,crosscountryski.jpg,nosmokingsign.jpg,musicsheet.jpg,kite.jpg,trampoline.jpg,anchor.jpg,helicopter.jpg,electrictoothbrush01c.jpg,shovel01.jpg,chainsaw.jpg,,,,,0,0,10,,,,,.\resources\crosscountryski.jpg,,,1,,,,,,,,,,,1,,,,,,,38.78387827000115,None,None,38.78387827000115,None,,,,,,,32.637331300007645,35.42464470001869,35.12841620002291,None,0.19066666667,35.664107100019464,None,35.664107100019464,None,38.302453700016486,None,38.302453700016486,None,right,0.27255230001173913,38.302453700016486,None,38.64951960000326,None,38.64951960000326,None,right,0.11734719999367371,38.64951960000326,None,-10.001360791690049,150.0000000424746,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag7,7,4,11,0.18133333334,0.046,0.45999999999999996,ramp,,,,,0,2,2,2,,,,,,,armadillo.jpg,parrot01.jpg,frisbee.jpg,saxophone.jpg,birdnest.jpg,doghouse.jpg,ceilingfan01.jpg,skateboard.jpg,honeybee.jpg,microphone01.jpg,ant.jpg,spicerack.jpg,pig.jpg,statue.jpg,acorn.jpg,pokerchips.jpg,swing.jpg,,,,,0,1,13,,,,,.\resources\ant.jpg,,,1,,,,,,,,,,,1,,,,,,,45.64203077000566,None,None,45.64203077000566,None,,,,,,,38.80011589999776,41.60513800001354,41.27601020000293,None,0.18133333334,41.812794700002996,None,41.812794700002996,None,45.020910100021865,None,45.020910100021865,None,right,0.34594950001337565,45.020910100021865,None,45.44204370002262,None,45.44204370002262,None,left,0.16482299999915995,45.44204370002262,None,-10.002719446389834,150.00000013655824,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag5,5,5,10,0.17200000001000001,0.044,0.43999999999999995,ramp,,,,,0,3,3,3,,,,,,,lizard.jpg,handcuffs.jpg,airhockeytable.jpg,vacuumcleaner01.jpg,car.jpg,trampoline.jpg,pingpongtable.jpg,acorn.jpg,horseshoe.jpg,pigeon.jpg,fishingrod.jpg,ipad02.jpg,chimney.jpg,daddylonglegs.jpg,bullet.jpg,toad.jpg,treadmill.jpg,,,,,0,0,12,,,,,.\resources\pigeon.jpg,,,1,,,,,,,,,,,1,,,,,,,52.0775943700166,None,None,52.0775943700166,None,,,,,,,45.65875670002424,48.40821330001927,48.14142910001101,None,0.17200000001000001,48.658078200009186,None,48.658078200009186,None,51.49246160002076,None,51.49246160002076,None,right,0.354417900001863,51.49246160002076,None,51.93128270001034,None,51.93128270001034,None,right,0.11556540001765825,51.93128270001034,None,-10.004075333761547,150.00000038823157,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag2,2,3,5,0.16266666668000002,0.041999999999999996,0.41999999999999993,ramp,,,,,0,4,4,4,,,,,,,birdhouse.jpg,wheelchair.jpg,jellyfish.jpg,swordfish.jpg,bluejay.jpg,tank.jpg,hockeystick.jpg,marble.jpg,shower.jpg,firehydrant.jpg,parachute.jpg,trampoline.jpg,sausage.jpg,brownsugar.jpg,birthdaycandle.jpg,lighthouse.jpg,leafrake.jpg,,,,,0,1,7,,,,,.\resources\bluejay.jpg,,,1,,,,,,,,,,,1,,,,,,,57.840698369999885,None,None,57.840698369999885,None,,,,,,,52.10282330002519,54.8847087000031,54.59516210001311,None,0.16266666668000002,55.13117000000784,None,55.13117000000784,None,56.77456119999988,None,56.77456119999988,None,right,0.7522755000100005,56.77456119999988,None,57.6077647000202,None,57.6077647000202,None,left,0.2071122000052128,57.6077647000202,None,-10.005426297173447,150.0000011389316,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag3,3,5,8,0.15333333335000002,0.039999999999999994,0.3999999999999999,ramp,,,,,0,5,5,5,,,,,,,jellybean.jpg,helicopter.jpg,englishcucumber.jpg,ostrich.jpg,birdfeeder.jpg,mummy.jpg,football.jpg,tent.jpg,sandcastle.jpg,eye.jpg,floorlamp.jpg,calendar.jpg,smokingpipe.jpg,bullet.jpg,swordfish.jpg,leafblower01.jpg,vacuumcleaner01.jpg,,,,,0,0,10,,,,,.\resources\tent.jpg,,,1,,,,,,,,,,,1,,,,,,,63.57367557000835,None,None,63.57367557000835,None,,,,,,,57.8577678000147,60.607627300021704,60.3243180999998,None,0.15333333335000002,60.8238537000143,None,60.8238537000143,None,62.97417690002476,None,62.97417690002476,None,right,0.3686911999830045,62.97417690002476,None,63.424145800003316,None,63.424145800003316,None,right,0.1266994000179693,63.424145800003316,None,-10.006764806001751,150.00000351094027,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag1,1,4,5,0.14400000002000002,0.03799999999999999,0.3799999999999999,ramp,,,,,0,6,6,6,,,,,,,noparkingsign.jpg,fishskeleton.jpg,fortunecookie.jpg,hockeystick.jpg,pirateflag.jpg,bluejay.jpg,harmonica.jpg,moose.jpg,kite.jpg,kneepad01c.jpg,raccoon.jpg,duck01.jpg,callbell.jpg,dalmatian.jpg,well.jpg,dromedary.jpg,firehydrant.jpg,,,,,0,0,7,,,,,.\resources\pirateflag.jpg,,,1,,,,,,,,,,,1,,,,,,,68.67336957001244,None,None,68.67336957001244,None,,,,,,,63.59075840000878,66.3806811000104,66.08746280000196,None,0.14400000002000002,66.63000640002429,None,66.63000640002429,None,68.09047390002524,None,68.09047390002524,None,right,0.3723799000144936,68.09047390002524,None,68.54044650000287,None,68.54044650000287,None,right,0.10640369998873211,68.54044650000287,None,-10.008064094004647,150.00001124737665,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag6,6,5,11,0.13466666669000002,0.03599999999999999,0.3599999999999999,ramp,,,,,0,7,7,7,,,,,,,zipper.jpg,toyanimal05.jpg,pokerchips.jpg,sword01.jpg,treadmill.jpg,lizard.jpg,armadillo.jpg,masquerademask01.jpg,bluejay.jpg,dormer.jpg,hand01b.jpg,skippingrope.jpg,parkfountain.jpg,lollipop04.jpg,scooter.jpg,cross01.jpg,seagull.jpg,,,,,1,0,13,,,,,.\resources\hand01b.jpg,,,1,,,,,,,,,,,1,,,,,,,74.65632657001261,None,None,74.65632657001261,None,,,,,,,68.6904800000193,71.44021359999897,71.15692670000135,None,0.13466666669000002,71.6564764000068,None,71.6564764000068,None,74.07317680001142,None,74.07317680001142,None,left,0.3416894000256434,74.07317680001142,None,74.49009140001726,None,74.49009140001726,None,right,0.14882370000123046,74.49009140001726,None,-10.009227634136485,150.00003695987715,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag3,3,4,7,0.12533333336000002,0.03399999999999999,0.33999999999999986,ramp,,,,,0,8,8,8,,,,,,,surfboard.jpg,granolabar01.jpg,porcupine.jpg,shower.jpg,duck01.jpg,stool01.jpg,jeep.jpg,peacock.jpg,platypus.jpg,wallclock.jpg,skateboard.jpg,accordion01.jpg,smokingpipe.jpg,soccerball.jpg,fishskeleton.jpg,boat.jpg,seagull.jpg,,,,,1,0,9,,,,,.\resources\jeep.jpg,,,1,,,,,,,,,,,1,,,,,,,80.35599547000602,None,None,80.35599547000602,None,,,,,,,74.67340550001245,77.42319670002325,77.15655390001484,None,0.12533333336000002,77.65612150001107,None,77.65612150001107,None,79.27268840000033,None,79.27268840000033,None,left,0.9341636000026483,79.27268840000033,None,80.27265730002546,None,80.27265730002546,None,right,0.05423749997862615,80.27265730002546,None,-10.009903325668345,150.00012340554508,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag4,4,4,8,0.11600000003000002,0.03199999999999999,0.31999999999999984,ramp,,,,,0,9,9,9,,,,,,,doghouse.jpg,bathtub.jpg,fingerprint.jpg,fishingrod.jpg,dalmatian.jpg,birdhouse.jpg,pingpongtable.jpg,horse.jpg,football.jpg,penguin.jpg,well.jpg,seal.jpg,recyclingbin.jpg,cheetah.jpg,nose.jpg,ostrich.jpg,hand01b.jpg,,,,,0,0,10,,,,,.\resources\horse.jpg,,,1,,,,,,,,,,,1,,,,,,,85.53890507000615,None,None,85.53890507000615,None,,,,,,,80.37262970002485,83.12283950002166,82.8395343000011,None,0.11600000003000002,83.33909800002584,None,83.33909800002584,None,84.98911860000226,None,84.98911860000226,None,right,0.3537536999792792,84.98911860000226,None,85.42239310001605,None,85.42239310001605,None,right,0.08848319997196086,85.42239310001605,None,-10.0087969897031,150.00041576432758,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag5,5,4,9,0.10666666670000002,0.029999999999999985,0.2999999999999998,ramp,,,,,0,10,10,10,,,,,,,jellybean.jpg,totempole.jpg,jackrabbit.jpg,platypus.jpg,bumpercar.jpg,nunchuk.jpg,frenchfries.jpg,chefshat.jpg,snowboard.jpg,trumpet.jpg,crab01.jpg,lollipop04.jpg,masquerademask01.jpg,dartboard.jpg,alligator.jpg,leafblower01.jpg,tricycle.jpg,,,,,0,0,11,,,,,.\resources\snowboard.jpg,,,1,,,,,,,,,,,1,,,,,,,90.70511987000937,None,None,90.70511987000937,None,,,,,,,85.5560289999994,88.30587500002002,88.03913020002074,None,0.10666666670000002,88.53871030002483,None,88.53871030002483,None,90.18840590000036,None,90.18840590000036,None,right,0.31449720001546666,90.18840590000036,None,90.55511510002543,None,90.55511510002543,None,right,0.1317603999923449,90.55511510002543,None,-10.001153334151129,150.00140318068046,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag2,2,3,5,0.09733333337000002,0.027999999999999983,0.3,ramp,,,,,0,11,11,11,,,,,,,cruiseship.jpg,guitarcase.jpg,pirateflag.jpg,snowshovel.jpg,windshieldwiper02.jpg,snowshoe.jpg,chainsaw.jpg,birdfeeder.jpg,mrpotatohead.jpg,drumset.jpg,eyepatch.jpg,football.jpg,escalator.jpg,basketball01.jpg,moon.jpg,recyclingbin.jpg,flag.jpg,,,,,0,0,7,,,,,.\resources\windshieldwiper02.jpg,,,1,,,,,,,,,,,1,,,,,,,95.28811017000699,None,None,95.28811017000699,None,,,,,,,90.70508300000802,93.45510680001462,93.1884710000013,None,0.09733333337000002,93.6884141000046,None,93.6884141000046,None,94.70480690000113,None,94.70480690000113,None,right,0.39007399999536574,94.70480690000113,None,95.1547825000016,None,95.1547825000016,None,right,0.11614490000647493,95.1547825000016,None,-9.969929362530102,150.00467706564078,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag1,1,4,5,0.08800000004000003,0.02599999999999998,0.3,ramp,,,,,0,12,12,12,,,,,,,well.jpg,bull.jpg,tarantula.jpg,musicsheet.jpg,rubikcube.jpg,rollerblade.jpg,tie02.jpg,mailbox02.jpg,sausage.jpg,seagull.jpg,punchingbag.jpg,dolphin01.jpg,birdhouse.jpg,boat.jpg,toyanimal05.jpg,wheelchair.jpg,swordfish.jpg,,,,,0,0,7,,,,,.\resources\rubikcube.jpg,,,1,,,,,,,,,,,1,,,,,,,99.87115427000681,None,None,99.87115427000681,None,,,,,,,95.28810350000276,98.03811990001122,97.77153050000197,None,0.08800000004000003,98.2714378000237,None,98.2714378000237,None,99.18809030001285,None,99.18809030001285,None,right,0.4828481999866199,99.18809030001285,None,99.72113600000739,None,99.72113600000739,None,right,0.12577940002665855,99.72113600000739,None,-9.860203419559875,150.01481140263897,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
AB,lag7,7,5,12,0.07866666671000003,0.02399999999999998,0.3,ramp,,,,,0,13,13,13,,,,,,,penguin.jpg,crab01.jpg,snowman.jpg,sledgehammer.jpg,exitsign.jpg,statue.jpg,corn02.jpg,electricguitar01.jpg,showerhead01.jpg,dalmatian.jpg,rose.jpg,saltshaker03a.jpg,pig.jpg,toad.jpg,cruiseship.jpg,smokingpipe.jpg,magneticcompass.jpg,,,,,0,0,14,,,,,.\resources\saltshaker03a.jpg,,,1,,,,,,,,,,,1,,,,,,,104.93744937000447,None,None,104.93744937000447,None,,,,,,,99.87112409999827,102.62119560001884,102.37121930002468,None,0.07866666671000003,102.87118919999921,None,102.87118919999921,None,104.42107110001962,None,104.42107110001962,None,right,0.3217999000044074,104.42107110001962,None,104.80414240001119,None,104.80414240001119,None,right,0.10670329999993555,104.80414240001119,None,-9.545471510334263,150.0407565987997,,001,2021_Mar_24_1048,AB_pic_singleT2,2020.2.10,59.91748164024009,
